,voice_mail_plan,voice_mail_messages,international_mins,customer_service_calls,international_plan,international_calls,international_charge,total_charge,churn
1376,1,38,8.9,1,0,1,2.4,66.59,0
1377,0,0,10.9,1,0,7,2.94,60.45,0
1378,1,33,10.6,2,0,1,2.86,61.03,0
1379,1,31,12.3,3,0,4,3.32,52.57,0
1380,0,0,6.4,2,0,4,1.73,63.75,0
1381,0,0,10.2,0,0,1,2.75,56.04,0
1382,0,0,7.8,1,0,6,2.11,54.69,0
1383,1,35,8.1,1,0,10,2.19,68.39,0
1384,1,24,12.7,1,0,3,3.43,51.76,0
1385,0,0,14.0,2,0,6,3.78,63.28,0
1386,0,0,13.7,2,0,3,3.7,60.4,0
1387,0,0,10.5,5,0,8,2.84,64.14,0
1388,0,0,10.2,0,0,3,2.75,55.85,0
1389,0,0,7.7,2,0,5,2.08,46.48,0
1390,0,0,9.0,1,0,10,2.43,58.93,0
1391,0,0,8.9,1,0,8,2.4,58.85,0
1392,0,0,12.7,2,0,1,3.43,60.36,0
1393,0,0,7.1,1,0,4,1.92,56.2,0
1394,1,29,8.5,1,0,3,2.3,51.61,0
1395,1,30,12.9,2,0,4,3.48,67.59,0
1396,0,0,14.1,2,0,4,3.81,39.81,0
1397,0,0,10.8,3,0,5,2.92,48.11,0
1398,1,40,12.3,2,0,3,3.32,72.82,0
1399,0,0,14.2,3,0,5,3.83,31.34,0
1400,0,0,10.5,3,0,4,2.84,38.95,0
1401,1,39,11.4,1,0,5,3.08,46.7,0
1402,1,15,12.4,1,0,9,3.35,68.94,0
1403,1,27,12.5,1,0,5,3.38,66.12,0
1404,0,0,13.3,2,0,5,3.59,67.71,0
1405,0,0,12.4,1,0,6,3.35,63.97,0
1406,0,0,11.5,1,0,2,3.11,59.06,0
1407,0,0,6.0,0,0,4,1.62,63.19,0
1408,0,0,8.4,4,0,3,2.27,60.76,0
1409,1,32,9.4,2,0,5,2.54,58.17,0
1410,1,26,11.1,2,0,2,3.0,58.46,0
1411,1,29,7.2,3,0,2,1.94,64.14,0
1412,0,0,11.7,1,0,3,3.16,71.92,0
1413,1,23,11.2,4,0,3,3.02,58.7,0
1414,0,0,10.5,3,0,3,2.84,65.89,0
1415,0,0,9.0,2,0,7,2.43,63.02,0
1416,1,17,11.7,0,1,4,3.16,62.74,0
1417,0,0,10.3,4,0,5,2.78,58.02,0
1418,0,0,11.4,3,0,2,3.08,56.77,0
1419,1,36,13.3,0,0,4,3.59,52.42,0
1420,1,25,9.1,1,0,2,2.46,55.71,0
1421,0,0,14.3,1,0,3,3.86,54.09,0
1422,0,0,15.2,2,0,5,4.1,56.85,0
1423,0,0,6.1,1,0,1,1.65,53.91,0
1424,0,0,8.2,1,0,3,2.21,62.16,0
1425,0,0,12.3,1,0,1,3.32,40.13,0
1426,0,0,10.9,2,0,7,2.94,62.76,0
1427,0,0,7.1,1,0,4,1.92,38.74,0
1428,0,0,14.1,2,0,4,3.81,55.76,0
1429,0,0,11.0,1,0,5,2.97,52.58,0
1430,0,0,12.2,1,0,2,3.29,45.71,0
1431,1,23,9.5,4,0,5,2.57,57.02,0
1432,1,36,13.4,2,0,4,3.62,42.05,0
1433,0,0,12.6,2,0,3,3.4,54.59,0
1434,1,43,8.3,3,0,5,2.24,54.96,0
1435,0,0,3.5,0,0,6,0.95,55.87,0
1436,0,0,13.8,1,0,3,3.73,65.68,0
1437,0,0,14.8,0,0,1,4.0,49.81,0
1438,0,0,8.8,0,0,6,2.38,53.78,0
1439,1,25,4.8,0,0,3,1.3,65.1,0
1440,1,31,9.4,0,0,6,2.54,56.45,0
1441,0,0,3.7,3,0,5,1.0,73.39,0
1442,0,0,11.4,1,0,5,3.08,38.85,0
1443,0,0,5.8,1,0,2,1.57,73.76,0
1444,1,26,7.7,0,0,3,2.08,75.54,0
1445,0,0,10.2,0,0,1,2.75,64.09,0
1446,0,0,10.0,1,0,5,2.7,53.28,0
1447,1,23,14.1,1,0,7,3.81,67.77,0
1448,0,0,8.8,3,0,3,2.38,51.9,0
1449,0,0,8.8,1,0,2,2.38,64.2,0
1450,0,0,7.5,2,0,2,2.03,54.27,0
1451,1,15,11.9,1,1,5,3.21,51.14,0
1452,0,0,12.0,2,1,6,3.24,56.24,0
1453,0,0,12.1,0,0,7,3.27,68.28,0
1454,1,35,8.9,0,0,6,2.4,66.48,0
1455,0,0,9.2,2,0,6,2.48,68.83,0
1456,1,28,7.7,1,0,2,2.08,73.11,0
1457,0,0,7.4,0,0,3,2.0,55.8,0
1458,1,42,11.5,1,0,1,3.11,62.39,0
1459,0,0,11.6,2,0,7,3.13,53.72,0
1460,1,14,10.5,2,0,3,2.84,53.39,0
1461,0,0,9.6,2,0,2,2.59,62.65,0
1462,0,0,9.1,0,0,3,2.46,59.5,0
1463,1,39,12.7,2,0,8,3.43,47.99,0
1464,0,0,12.5,1,0,10,3.38,52.11,0
1465,1,40,11.5,1,1,3,3.11,64.14,0
1466,0,0,6.6,1,0,1,1.78,70.33,0
1467,1,24,9.5,0,0,4,2.57,79.19,0
1468,0,0,11.0,0,0,5,2.97,62.14,0
1469,1,39,11.3,2,0,10,3.05,47.21,0
1470,0,0,11.3,1,0,7,3.05,62.43,0
1471,0,0,12.0,1,0,7,3.24,58.61,0
1472,1,21,15.1,1,0,3,4.08,62.26,0
1473,0,0,8.0,1,0,1,2.16,59.99,0
1474,1,29,10.9,1,0,3,2.94,46.86,0
1475,1,29,7.9,2,0,6,2.13,54.73,0
1476,0,0,8.2,0,0,5,2.21,54.96,0
1477,1,31,7.8,1,0,2,2.11,64.69,0
1478,1,34,12.3,1,0,5,3.32,57.3,0
1479,0,0,9.2,2,0,3,2.48,61.99,0
1480,0,0,10.8,1,0,3,2.92,52.6,0
1481,0,0,6.1,0,0,6,1.65,51.26,0
1482,0,0,7.3,1,0,4,1.97,65.25,0
1483,1,29,15.2,1,0,4,4.1,59.99,0
1484,0,0,13.0,1,0,4,3.51,49.09,0
1485,1,47,10.2,0,0,11,2.75,53.65,0
1486,0,0,12.0,1,0,4,3.24,68.65,0
1487,0,0,6.2,1,0,10,1.67,47.6,0
1488,0,0,10.7,0,0,4,2.89,71.85,0
1489,0,0,8.5,2,0,6,2.3,61.09,0
1490,0,0,8.5,1,0,5,2.3,63.75,0
1491,0,0,10.7,3,0,9,2.89,68.3,0
1492,0,0,11.7,0,0,6,3.16,63.42,0
1493,0,0,12.9,3,0,1,3.48,59.91,0
1494,0,0,12.4,3,0,2,3.35,70.33,0
1495,0,0,13.8,1,0,2,3.73,61.16,0
1496,0,0,11.9,0,0,5,3.21,66.92,0
1497,0,0,15.4,3,0,8,4.16,52.64,0
1498,0,0,6.1,0,0,3,1.65,55.86,0
1499,0,0,13.1,0,0,4,3.54,60.79,0
1500,1,42,9.5,0,0,3,2.57,59.87,0
1501,0,0,18.4,2,0,3,4.97,61.13,0
1502,0,0,7.3,2,0,4,1.97,51.15,0
1503,0,0,11.8,3,0,3,3.19,56.01,0
1504,1,17,4.4,0,0,4,1.19,64.88,0
1505,0,0,8.9,1,0,2,2.4,48.1,0
1506,1,39,15.4,1,0,7,4.16,75.86,0
1507,0,0,8.8,2,0,4,2.38,52.31,0
1508,1,23,11.8,2,0,3,3.19,70.51,0
1509,1,26,15.0,1,0,3,4.05,64.13,0
1510,0,0,7.8,3,0,2,2.11,63.98,0
1511,0,0,7.7,3,0,2,2.08,58.11,0
1512,0,0,13.4,2,0,6,3.62,58.36,0
1513,0,0,9.9,2,0,2,2.67,53.04,0
1514,1,25,10.6,1,0,10,2.86,63.5,0
1515,0,0,10.5,1,0,6,2.84,71.58,0
1516,0,0,15.1,1,0,11,4.08,61.56,0
1517,0,0,8.0,2,0,3,2.16,69.27,0
1518,1,29,14.2,0,0,6,3.83,66.65,0
1519,1,37,8.0,4,0,3,2.16,58.67,0
1520,1,17,9.7,0,0,3,2.62,62.3,0
1521,1,26,8.1,1,0,9,2.19,61.28,0
1522,0,0,13.2,1,0,4,3.56,60.45,0
1523,1,22,7.1,2,0,3,1.92,59.42,0
1524,1,21,5.3,2,0,3,1.43,50.81,0
1525,0,0,16.2,2,0,3,4.37,58.52,0
1526,1,43,11.5,1,0,4,3.11,55.49,0
1527,1,39,12.5,2,0,8,3.38,51.53,0
1528,0,0,8.6,2,1,3,2.32,49.96,0
1529,1,25,14.5,1,0,3,3.92,53.47,0
1530,0,0,5.9,0,0,6,1.59,62.4,0
1531,0,0,5.5,1,0,4,1.49,61.89,0
1532,0,0,10.9,2,0,5,2.94,37.69,0
1533,0,0,9.7,1,0,5,2.62,63.74,0
1534,0,0,11.2,0,0,7,3.02,72.34,0
1535,0,0,8.0,0,0,3,2.16,63.51,0
1536,0,0,7.4,0,0,7,2.0,70.23,0
1537,0,0,8.7,1,1,4,2.35,59.35,0
1538,0,0,11.4,0,0,5,3.08,67.65,0
1539,1,25,9.8,0,1,3,2.65,58.11,0
1540,0,0,8.3,3,0,2,2.24,65.36,0
1541,0,0,8.0,0,0,5,2.16,64.36,0
1542,0,0,5.5,0,0,5,1.49,62.57,0
1543,1,25,12.0,1,0,1,3.24,64.38,0
1544,0,0,4.9,2,0,3,1.32,57.04,0
1545,0,0,11.4,1,0,7,3.08,55.63,0
1546,0,0,8.1,1,0,1,2.19,57.4,0
1547,0,0,9.7,1,1,4,2.62,64.84,0
1548,0,0,9.4,2,0,7,2.54,50.25,0
1549,1,33,12.9,2,1,3,3.48,65.74,0
1550,1,28,11.1,1,0,9,3.0,52.66,0
1551,0,0,12.7,1,0,6,3.43,70.79,0
1552,0,0,5.5,3,0,6,1.49,45.08,0
1553,0,0,12.0,2,0,4,3.24,63.59,0
1554,0,0,10.3,4,0,3,2.78,64.48,0
1555,0,0,10.3,3,0,2,2.78,63.14,0
1556,0,0,10.2,3,0,5,2.75,48.3,0
1557,1,21,10.1,0,0,9,2.73,59.81,0
1558,0,0,9.9,1,0,5,2.67,60.42,0
1559,1,29,12.9,1,0,3,3.48,70.35,0
1560,0,0,9.9,1,0,1,2.67,69.14,0
1561,0,0,10.2,1,0,6,2.75,64.58,0
1562,0,0,11.2,1,0,7,3.02,65.38,0
1563,0,0,7.0,2,0,3,1.89,58.39,0
1564,1,39,10.9,1,0,4,2.94,43.85,0
1565,1,28,9.8,2,0,1,2.65,64.74,0
1566,1,36,12.1,0,0,2,3.27,70.87,0
1567,0,0,6.5,0,0,4,1.76,44.64,0
1568,0,0,8.2,4,0,7,2.21,62.69,0
1569,0,0,5.5,2,0,4,1.49,54.42,0
1570,1,25,9.9,3,0,3,2.67,46.15,0
1571,0,0,6.5,1,0,9,1.76,68.22,0
1572,0,0,11.8,1,0,3,3.19,55.21,0
1573,0,0,11.0,2,0,3,2.97,57.5,0
1574,0,0,14.2,1,0,2,3.83,61.21,0
1575,0,0,8.6,1,0,6,2.32,64.82,0
1576,0,0,9.4,3,0,6,2.54,43.2,0
1577,0,0,9.7,4,0,8,2.62,65.54,0
1578,0,0,11.8,1,0,6,3.19,71.72,0
1579,0,0,11.3,1,0,2,3.05,63.38,0
1580,0,0,9.8,2,0,6,2.65,62.92,0
1581,0,0,9.8,2,0,4,2.65,55.04,0
1582,0,0,15.3,3,0,3,4.13,50.54,0
1583,0,0,11.2,1,0,5,3.02,50.28,0
1584,0,0,11.6,0,0,4,3.13,58.24,0
1585,0,0,10.9,1,0,1,2.94,55.06,0
1586,0,0,8.6,1,0,5,2.32,62.17,0
1587,0,0,11.4,2,0,3,3.08,38.54,0
1588,1,33,12.1,1,0,4,3.27,58.09,0
1589,1,30,6.8,1,0,6,1.84,51.15,0
1590,0,0,8.7,1,0,4,2.35,56.7,0
1591,0,0,7.6,1,0,3,2.05,59.63,0
1592,0,0,8.8,2,0,3,2.38,63.35,0
1593,0,0,10.9,0,0,7,2.94,57.48,0
1594,1,30,6.7,1,0,3,1.81,58.66,0
1595,0,0,8.5,1,0,3,2.3,68.18,0
1596,0,0,5.1,1,0,5,1.38,58.9,0
1597,0,0,8.0,0,0,4,2.16,62.17,0
1598,0,0,6.8,1,0,2,1.84,59.23,0
1599,0,0,10.0,0,0,8,2.7,60.43,0
1600,1,26,9.6,1,1,7,2.59,46.52,0
1601,0,0,6.1,1,0,6,1.65,58.99,0
1602,0,0,11.1,0,0,5,3.0,67.62,0
1603,0,0,5.6,0,0,4,1.51,63.72,0
1604,1,30,12.6,3,0,4,3.4,62.0,0
1605,0,0,10.2,1,0,2,2.75,63.31,0
1606,0,0,12.4,3,0,2,3.35,42.77,0
1607,1,31,12.8,2,0,3,3.46,67.85,0
1608,0,0,11.1,3,0,4,3.0,51.43,0
1609,0,0,10.4,3,0,3,2.81,53.07,0
1610,0,0,10.1,0,0,5,2.73,45.28,0
1611,0,0,11.0,1,0,6,2.97,57.35,0
1612,0,0,2.0,1,0,7,0.54,55.6,0
1613,0,0,9.4,3,0,10,2.54,53.24,0
1614,0,0,8.0,1,0,6,2.16,55.8,0
1615,1,20,13.5,1,0,2,3.65,54.24,0
1616,0,0,13.0,5,0,3,3.51,59.51,0
1617,1,32,9.0,1,0,4,2.43,69.07,0
1618,0,0,12.5,2,0,4,3.38,56.83,0
1619,0,0,7.0,2,0,2,1.89,46.27,0
1620,1,27,10.4,1,0,2,2.81,68.3,0
1621,0,0,7.4,1,0,3,2.0,63.89,0
1622,0,0,12.7,4,0,2,3.43,59.8,0
1623,0,0,5.3,1,0,5,1.43,52.23,0
1624,0,0,15.7,0,0,4,4.24,62.5,0
1625,1,4,9.4,3,0,3,2.54,56.21,0
1626,1,16,8.2,2,0,5,2.21,49.93,0
1627,0,0,10.2,0,0,4,2.75,50.32,0
1628,0,0,12.1,1,0,2,3.27,54.14,0
1629,1,30,12.0,2,0,7,3.24,60.3,0
1630,0,0,12.4,2,0,4,3.35,55.55,0
1631,0,0,12.6,1,0,3,3.4,58.66,0
1632,0,0,7.6,2,0,3,2.05,60.49,0
1633,0,0,4.5,0,0,3,1.22,70.26,0
1634,0,0,10.6,0,0,7,2.86,49.5,0
1635,1,35,11.7,1,0,1,3.16,78.37,0
1636,0,0,7.6,1,0,3,2.05,66.42,0
1637,0,0,13.1,3,0,6,3.54,67.28,0
1638,0,0,9.7,2,0,3,2.62,43.26,0
1639,0,0,10.9,0,0,9,2.94,40.69,0
1640,0,0,10.1,3,0,3,2.73,53.72,0
1641,0,0,12.9,3,0,5,3.48,60.59,0
1642,0,0,13.0,1,1,6,3.51,58.2,0
1643,0,0,17.8,4,0,3,4.81,63.11,0
1644,0,0,11.1,1,0,7,3.0,51.93,0
1645,1,27,6.6,3,0,2,1.78,57.59,0
1646,0,0,6.2,3,0,6,1.67,71.14,0
1647,1,33,11.9,3,0,4,3.21,68.37,0
1648,0,0,8.3,0,0,4,2.24,48.13,0
1649,0,0,12.7,0,0,7,3.43,45.24,0
1650,0,0,9.3,3,0,7,2.51,60.63,0
1651,0,0,6.1,1,0,2,1.65,50.63,0
1652,0,0,10.8,2,0,2,2.92,59.82,0
1653,0,0,13.7,3,0,3,3.7,57.94,0
1654,0,0,13.8,0,0,4,3.73,67.37,0
1655,0,0,9.2,3,0,5,2.48,66.99,0
1656,1,39,9.5,3,0,4,2.57,54.38,0
1657,1,22,7.5,1,0,11,2.03,60.7,0
1658,1,30,11.1,1,0,4,3.0,58.72,0
1659,0,0,5.2,2,0,1,1.4,71.57,0
1660,1,26,11.1,1,0,4,3.0,59.27,0
1661,0,0,10.6,1,0,7,2.86,47.9,0
1662,0,0,13.4,1,0,3,3.62,55.49,0
1663,1,23,12.6,2,0,3,3.4,55.21,0
1664,0,0,13.4,2,0,3,3.62,54.49,0
1665,0,0,14.1,1,0,6,3.81,57.95,0
1666,1,36,10.8,1,1,3,2.92,58.05,0
1667,1,37,11.8,1,0,1,3.19,68.14,0
1668,0,0,11.4,5,0,9,3.08,56.96,0
1669,0,0,13.2,2,0,10,3.56,56.2,0
1670,0,0,14.6,1,0,2,3.94,61.14,0
1671,0,0,8.7,3,0,3,2.35,71.15,0
1672,0,0,8.0,3,0,6,2.16,64.31,0
1673,0,0,6.7,1,0,8,1.81,43.62,0
1674,1,21,10.6,1,0,2,2.86,50.81,0
1675,1,15,9.7,2,0,1,2.62,44.7,0
1676,1,34,9.9,2,0,4,2.67,63.34,0
1677,1,26,11.2,1,0,8,3.02,73.82,0
1678,0,0,6.4,3,0,5,1.73,46.55,0
1679,1,30,10.0,0,1,10,2.7,57.83,0
1680,0,0,13.6,4,0,4,3.67,69.66,0
1681,0,0,11.1,1,0,5,3.0,56.02,0
1682,0,0,12.2,3,0,4,3.29,63.65,0
1683,1,27,9.6,3,0,9,2.59,55.07,0
1684,1,27,7.0,2,0,2,1.89,64.07,0
1685,0,0,7.5,1,0,4,2.03,59.53,0
1686,0,0,8.2,1,1,6,2.21,72.49,0
1687,0,0,9.7,2,0,6,2.62,50.27,0
1688,0,0,13.0,0,0,4,3.51,72.9,0
1689,0,0,7.1,1,0,2,1.92,49.33,0
1690,0,0,13.5,1,0,3,3.65,54.5,0
1691,0,0,13.3,3,0,7,3.59,54.38,0
1692,1,16,11.5,2,0,3,3.11,43.65,0
1693,0,0,12.1,0,0,9,3.27,73.06,0
1694,1,25,7.3,0,0,5,1.97,69.45,0
1695,1,34,10.3,0,0,3,2.78,72.59,0
1696,0,0,10.3,1,0,4,2.78,62.68,0
1697,0,0,10.1,2,0,5,2.73,44.42,0
1698,0,0,9.2,2,0,3,2.48,54.31,0
1699,0,0,12.2,1,0,6,3.29,61.75,0
1700,1,26,15.1,0,0,5,4.08,64.56,0
1701,0,0,9.9,4,0,3,2.67,57.02,0
1702,0,0,12.3,1,0,4,3.32,50.6,0
1703,0,0,13.1,1,0,5,3.54,58.4,0
1704,0,0,4.2,2,0,9,1.13,69.74,0
1705,0,0,6.5,3,0,6,1.76,48.53,0
1706,0,0,11.3,1,0,4,3.05,61.29,0
1707,0,0,6.6,2,0,5,1.78,58.58,0
1708,1,28,8.8,2,0,1,2.38,56.85,0
1709,0,0,13.1,0,0,3,3.54,68.66,0
1710,0,0,4.3,1,0,4,1.16,42.47,0
1711,0,0,13.1,2,0,9,3.54,71.04,0
1712,0,0,11.9,0,0,5,3.21,73.43,0
1713,0,0,10.1,1,0,7,2.73,49.87,0
1714,1,23,9.8,0,0,4,2.65,66.91,0
1715,0,0,8.3,3,0,6,2.24,49.89,0
1716,1,24,8.8,2,0,5,2.38,56.72,0
1717,0,0,11.1,1,0,7,3.0,49.27,0
1718,0,0,12.6,1,0,2,3.4,54.79,0
1719,0,0,11.1,4,0,8,3.0,58.31,0
1720,0,0,16.4,2,0,3,4.43,63.48,0
1721,0,0,11.1,1,0,7,3.0,64.38,0
1722,1,37,10.6,2,0,5,2.86,67.14,0
1723,0,0,7.5,2,0,2,2.03,59.5,0
1724,0,0,10.8,2,0,4,2.92,61.5,0
1725,0,0,12.9,0,0,3,3.48,64.58,0
1726,0,0,11.0,0,0,6,2.97,56.93,0
1727,0,0,13.3,0,0,4,3.59,66.75,0
1728,0,0,9.8,2,0,4,2.65,54.19,0
1729,0,0,9.8,1,0,4,2.65,55.74,0
1730,0,0,6.9,0,0,6,1.86,52.83,0
1731,0,0,12.7,2,0,3,3.43,71.81,0
1732,0,0,10.9,2,0,4,2.94,46.02,0
1733,0,0,9.6,0,0,7,2.59,70.55,0
1734,0,0,9.5,0,0,4,2.57,52.74,0
1735,1,19,12.6,3,0,1,3.4,57.42,0
1736,1,25,10.2,2,0,6,2.75,49.6,0
1737,0,0,13.3,3,0,5,3.59,70.28,0
1738,0,0,14.2,1,0,4,3.83,54.51,0
1739,0,0,11.9,4,0,7,3.21,63.11,0
1740,0,0,13.7,1,0,3,3.7,58.69,0
1741,0,0,12.7,1,0,2,3.43,48.87,0
1742,0,0,8.1,1,0,3,2.19,42.29,0
1743,0,0,10.7,3,0,3,2.89,33.74,0
1744,1,27,3.8,1,0,10,1.03,55.45,0
1745,0,0,9.7,1,0,6,2.62,71.43,0
1746,0,0,11.2,3,0,5,3.02,63.71,0
1747,1,26,10.2,2,0,6,2.75,44.08,0
1748,1,23,7.4,2,0,4,2.0,61.02,0
1749,0,0,10.9,1,0,10,2.94,72.7,0
1750,1,31,11.0,1,0,4,2.97,54.94,0
1751,0,0,6.0,3,0,3,1.62,44.79,0
1752,1,31,10.3,2,0,8,2.78,63.59,0
1753,0,0,13.0,1,0,1,3.51,69.19,0
1754,0,0,11.2,0,0,2,3.02,55.85,0
1755,0,0,11.3,1,0,7,3.05,69.67,0
1756,0,0,8.9,0,0,3,2.4,63.51,0
1757,0,0,10.9,3,0,1,2.94,64.02,0
1758,0,0,13.2,4,0,5,3.56,59.79,0
1759,1,29,6.6,2,0,3,1.78,50.35,0
1760,0,0,11.3,3,0,5,3.05,48.62,0
1761,0,0,12.7,1,0,2,3.43,46.31,0
1762,0,0,10.8,1,0,5,2.92,64.64,0
1763,0,0,10.9,0,1,4,2.94,59.37,0
1764,0,0,10.0,1,0,7,2.7,56.53,0
1765,1,33,11.6,0,0,5,3.13,74.54,0
1766,0,0,9.6,2,0,6,2.59,50.5,0
1767,1,26,11.1,1,1,3,3.0,57.42,0
1768,0,0,9.5,2,0,4,2.57,39.66,0
1769,0,0,12.5,2,1,8,3.38,70.76,0
1770,0,0,11.3,3,0,11,3.05,67.12,0
1771,0,0,10.2,2,0,2,2.75,56.62,0
1772,0,0,13.0,1,0,2,3.51,63.91,0
1773,0,0,12.1,0,0,5,3.27,56.26,0
1774,1,35,6.9,1,0,4,1.86,71.81,0
1775,0,0,7.4,1,0,10,2.0,73.54,0
1776,0,0,13.0,2,0,3,3.51,61.33,0
1777,0,0,11.2,2,0,2,3.02,64.22,0
1778,0,0,6.7,1,0,8,1.81,52.81,0
1779,0,0,10.3,1,0,3,2.78,54.56,0
1780,0,0,10.6,0,0,2,2.86,60.04,0
1781,0,0,10.9,0,0,4,2.94,63.76,0
1782,0,0,6.8,1,0,1,1.84,60.11,0
1783,0,0,11.2,0,0,4,3.02,64.27,0
1784,0,0,10.3,1,0,5,2.78,37.86,0
1785,0,0,8.8,3,0,5,2.38,50.74,0
1786,0,0,7.8,2,0,4,2.11,58.34,0
1787,0,0,13.1,2,0,1,3.54,61.8,0
1788,0,0,7.3,0,0,5,1.97,47.73,0
1789,1,24,11.6,2,0,3,3.13,39.7,0
1790,0,0,2.9,2,0,7,0.78,52.0,0
1791,1,29,15.0,1,0,5,4.05,67.48,0
1792,1,37,13.0,0,0,4,3.51,65.36,0
1793,0,0,14.0,3,0,6,3.78,60.79,0
1794,1,31,11.8,1,0,5,3.19,65.38,0
1795,0,0,13.0,1,0,3,3.51,57.29,0
1796,0,0,7.3,2,0,4,1.97,60.83,0
1797,0,0,9.7,3,0,4,2.62,41.29,0
1798,1,27,10.9,1,0,1,2.94,48.74,0
1799,0,0,5.4,1,0,9,1.46,37.54,0
1800,0,0,5.3,2,0,6,1.43,57.04,0
1801,0,0,9.4,2,0,2,2.54,72.89,0
1802,1,29,9.0,2,1,3,2.43,47.45,0
1803,1,34,6.1,1,0,10,1.65,53.9,0
1804,1,10,11.5,0,0,4,3.11,65.45,0
1805,0,0,3.1,2,0,1,0.84,65.12,0
1806,0,0,8.5,2,0,4,2.3,69.16,0
1807,0,0,8.4,1,0,6,2.27,52.48,0
1808,0,0,14.0,2,0,3,3.78,43.06,0
1809,1,16,10.4,1,1,3,2.81,60.47,0
1810,0,0,6.8,2,0,3,1.84,46.96,0
1811,0,0,11.2,3,0,8,3.02,51.07,0
1812,0,0,10.6,1,0,4,2.86,59.73,0
1813,0,0,9.8,0,0,5,2.65,47.71,0
1814,0,0,9.6,1,0,3,2.59,58.87,0
1815,0,0,6.8,3,1,3,1.84,50.42,0
1816,1,27,11.1,4,0,3,3.0,66.98,0
1817,0,0,13.0,1,0,7,3.51,64.44,0
1818,0,0,11.8,2,0,3,3.19,67.86,0
1819,1,22,11.4,2,0,5,3.08,58.61,0
1820,1,28,9.9,3,0,4,2.67,39.44,0
1821,0,0,8.6,3,0,7,2.32,62.64,0
1822,0,0,10.2,2,0,6,2.75,59.53,0
1823,1,24,12.1,0,0,9,3.27,58.87,0
1824,0,0,11.0,6,0,4,2.97,57.39,0
1825,0,0,15.5,2,0,5,4.19,49.72,0
1826,0,0,12.1,1,0,5,3.27,61.19,0
1827,0,0,10.5,1,0,2,2.84,51.09,0
1828,0,0,10.2,2,0,6,2.75,71.96,0
1829,0,0,7.6,2,0,5,2.05,62.01,0
1830,1,25,17.6,2,0,5,4.75,69.8,0
1831,0,0,7.8,2,1,3,2.11,60.46,0
1832,0,0,12.4,0,0,5,3.35,44.87,0
1833,0,0,11.0,1,0,5,2.97,54.29,0
1834,0,0,10.0,2,0,1,2.7,63.78,0
1835,1,13,9.7,1,0,3,2.62,61.37,0
1836,0,0,14.4,2,0,6,3.89,69.65,0
1837,0,0,9.3,2,0,3,2.51,59.6,0
1838,0,0,13.7,0,0,7,3.7,52.91,0
1839,0,0,11.4,2,0,3,3.08,63.21,0
1840,0,0,8.6,2,0,4,2.32,52.27,0
1841,0,0,10.9,1,0,3,2.94,70.72,0
1842,1,29,8.8,2,0,5,2.38,58.55,0
1843,0,0,11.3,1,0,6,3.05,52.44,0
1844,0,0,12.8,0,0,3,3.46,63.15,0
1845,1,20,13.3,5,0,3,3.59,74.08,0
1846,0,0,14.4,3,0,4,3.89,41.92,0
1847,0,0,7.2,1,0,4,1.94,68.62,0
1848,0,0,6.4,1,0,6,1.73,53.53,0
1849,0,0,10.6,1,0,6,2.86,28.73,0
1850,1,28,6.7,1,0,3,1.81,53.67,0
1851,0,0,11.3,0,0,4,3.05,47.52,0
1852,0,0,2.6,1,0,6,0.7,60.84,0
1853,1,33,13.5,1,0,3,3.65,68.8,0
1854,0,0,9.4,4,0,5,2.54,72.1,0
1855,1,26,9.0,1,0,9,2.43,71.76,0
1856,0,0,8.7,3,0,3,2.35,62.24,0
1857,1,31,8.7,0,0,4,2.35,81.17,0
1858,1,37,10.0,1,0,4,2.7,64.29,0
1859,1,16,11.3,0,0,7,3.05,53.76,0
1860,0,0,12.2,3,0,4,3.29,69.68,0
1861,0,0,8.7,1,0,10,2.35,58.54,0
1862,0,0,11.7,2,0,2,3.16,58.59,0
1863,0,0,7.6,2,0,3,2.05,51.07,0
1864,1,31,9.9,4,0,2,2.67,71.01,0
1865,0,0,7.7,0,1,7,2.08,64.28,0
1866,0,0,5.9,3,0,2,1.59,55.59,0
1867,0,0,13.3,0,0,4,3.59,57.87,0
1868,0,0,8.4,1,0,4,2.27,65.61,0
1869,0,0,9.5,1,0,5,2.57,48.26,0
1870,1,25,13.4,2,0,6,3.62,60.19,0
1871,1,38,8.3,0,0,4,2.24,67.34,0
1872,0,0,12.6,3,0,4,3.4,57.98,0
1873,0,0,12.6,2,0,5,3.4,53.56,0
1874,0,0,11.8,1,0,3,3.19,55.75,0
1875,1,42,10.4,0,0,7,2.81,54.49,0
1876,0,0,6.6,3,0,4,1.78,70.13,0
1877,0,0,8.8,0,0,4,2.38,56.05,0
1878,0,0,11.9,0,0,1,3.21,64.88,0
1879,0,0,10.5,2,0,2,2.84,49.4,0
1880,1,31,9.1,1,1,3,2.46,67.17,0
1881,0,0,7.4,0,0,4,2.0,54.03,0
1882,0,0,6.6,0,0,4,1.78,46.29,0
1883,0,0,10.2,1,0,6,2.75,61.76,0
1884,0,0,12.9,2,0,4,3.48,47.38,0
1885,0,0,8.8,1,0,5,2.38,38.42,0
1886,1,27,8.0,0,0,4,2.16,68.59,0
1887,0,0,8.8,0,0,3,2.38,63.1,0
1888,0,0,17.0,2,0,6,4.59,54.67,0
1889,0,0,11.5,2,0,6,3.11,57.86,0
1890,0,0,10.1,2,0,4,2.73,32.49,0
1891,1,32,11.0,0,0,9,2.97,48.34,0
